# --- cognates & near-cognates ---
TRENO	TRAIN	m
BANCA	BANK	f
MUSICA	MUSIC	f
TEATRO	THEATER	m
CINEMA	CINEMA	m
LIMONE	LEMON	m
MELONE	MELON	m
LEONE	LION	m
TIGRE	TIGER	f
ZEBRA	ZEBRA	f
ELEFANTE	ELEPHANT	m
DELFINO	DOLPHIN	m
GIRAFFA	GIRAFFE	f
STAZIONE	STATION	f
OSPEDALE	HOSPITAL	m
RISTORANTE	RESTAURANT	m
AEROPORTO	AIRPORT	m
BICICLETTA	BICYCLE	f
TELEFONO	TELEPHONE	m
MOMENTO	MOMENT	m
MINUTO	MINUTE	m
PROBLEMA	PROBLEM	m
PERSONA	PERSON	f
ANIMALE	ANIMAL	m
COLORE	COLOR	m
NUMERO	NUMBER	m
CENTRO	CENTER	m
MUSEO	MUSEUM	m
PARCO	PARK	m
ISOLA	ISLAND	f
COSTA	COAST	f
PORTO	PORT	m
ARTE	ART	f
STUDENTE	STUDENT	m
DOTTORE	DOCTOR	m
FAMOSO	FAMOUS	
FAMIGLIA	FAMILY	f
LAMPADA	LAMP	f
LETTERA	LETTER	f
FORESTA	FOREST	f
FRUTTA	FRUIT	f
INSALATA	SALAD	f
POMODORO	TOMATO	m
BANANA	BANANA	f
CIOCCOLATO	CHOCOLATE	m
MONTAGNA	MOUNTAIN	f
GIARDINO	GARDEN	m
PIAZZA	PLAZA	f
CLIENTE	CLIENT	m
CLIMA	CLIMATE	m
PIANETA	PLANET	m
SPAZIO	SPACE	m
NATURA	NATURE	f
MEMORIA	MEMORY	f
SPIRITO	SPIRIT	m
ANGELO	ANGEL	m
MAGIA	MAGIC	f
FAVOLA	FABLE	f
ROMANZO	NOVEL	m
POESIA	POEM	f
POETA	POET	m
ATTORE	ACTOR	m
PROFESSORE	PROFESSOR	m
AVVOCATO	LAWYER	m
GIUDICE	JUDGE	m
EROE	HERO	m
NEMICO	ENEMY	m
CAMPIONE	CHAMPION	m
CALENDARIO	CALENDAR	m
DOCUMENTO	DOCUMENT	m
CONTRATTO	CONTRACT	m
PROGETTO	PROJECT	m
SUCCESSO	SUCCESS	m
ESEMPIO	EXAMPLE	m
ESERCIZIO	EXERCISE	m
LEZIONE	LESSON	f
ESAME	EXAM	m
TITOLO	TITLE	m
MESSAGGIO	MESSAGE	m
INDIRIZZO	ADDRESS	m
REGIONE	REGION	f
PROVINCIA	PROVINCE	f
VILLAGGIO	VILLAGE	m
CAPITALE	CAPITAL	f
TRADUZIONE	TRANSLATION	f
ARRIVO	ARRIVAL	m
ENTRATA	ENTRANCE	f
MOTORE	ENGINE	m
BENZINA	GASOLINE	f
PATENTE	LICENSE	f
INCIDENTE	ACCIDENT	m
SEGNALE	SIGNAL	m
AUTOBUS	BUS	m
TRAGHETTO	FERRY	m
OCEANO	OCEAN	m
DESERTO	DESERT	m
VALLE	VALLEY	f
DIAMANTE	DIAMOND	m
PERLA	PEARL	f
CORONA	CROWN	f
PRINCIPE	PRINCE	m
PRINCIPESSA	PRINCESS	f
RE	KING	m
REGINA	QUEEN	f
SOLDATO	SOLDIER	m
BATTAGLIA	BATTLE	f
VITTORIA	VICTORY	f
PREMIO	PRIZE	m
GRUPPO	GROUP	m
SQUADRA	TEAM	f
CERCHIO	CIRCLE	m
TRIANGOLO	TRIANGLE	m
LINEA	LINE	f
FORMA	SHAPE	f
FOTO	PHOTO	f
QUADRO	PAINTING	m
DISEGNO	DRAWING	m
CANZONE	SONG	f
IDEA	IDEA	f
SEGRETO	SECRET	m
ERRORE	ERROR	m
FORTUNA	LUCK	f
SPERANZA	HOPE	f
FEDE	FAITH	f
GUERRA	WAR	f

# --- food & drink ---
ACQUA	WATER	f
PANE	BREAD	m
LATTE	MILK	m
VINO	WINE	m
BIRRA	BEER	f
FORMAGGIO	CHEESE	m
UOVO	EGG	m
MELA	APPLE	f
PESCE	FISH	m
CARNE	MEAT	f
POLLO	CHICKEN	m
RISO	RICE	m
SALE	SALT	m
PEPE	PEPPER	m
ZUCCHERO	SUGAR	m
BURRO	BUTTER	m
COLAZIONE	BREAKFAST	f
PRANZO	LUNCH	m
CENA	DINNER	f
ZUPPA	SOUP	f
PATATA	POTATO	f
CIPOLLA	ONION	f
AGLIO	GARLIC	m
CAROTA	CARROT	f
FUNGO	MUSHROOM	m
OLIO	OIL	m
ACETO	VINEGAR	m
FARINA	FLOUR	f
TORTA	CAKE	f
BISCOTTO	COOKIE	m
MIELE	HONEY	m
MARMELLATA	JAM	f
CARAMELLA	CANDY	f
ARANCIA	ORANGE	f
FRAGOLA	STRAWBERRY	f
UVA	GRAPE	f
PERA	PEAR	f
PESCA	PEACH	f
CILIEGIA	CHERRY	f
ANGURIA	WATERMELON	f
ANANAS	PINEAPPLE	m
NOCE	WALNUT	f
SUCCO	JUICE	m
BOTTIGLIA	BOTTLE	f
BICCHIERE	GLASS	m
TAZZA	CUP	f
PIATTO	PLATE	m
FORCHETTA	FORK	f
COLTELLO	KNIFE	m
CUCCHIAIO	SPOON	m
PENTOLA	POT	f
PADELLA	PAN	f
FORNO	OVEN	m
FRIGORIFERO	REFRIGERATOR	m
CAMERIERE	WAITER	m
CUOCO	CHEF	m
RICETTA	RECIPE	f
CONTO	BILL	m
FAME	HUNGER	f
SETE	THIRST	f
SAPORE	FLAVOR	m
GUSTO	TASTE	m

# --- animals ---
GATTO	CAT	m
CANE	DOG	m
CAVALLO	HORSE	m
UCCELLO	BIRD	m
MUCCA	COW	f
PECORA	SHEEP	f
MAIALE	PIG	m
CAPRA	GOAT	f
CONIGLIO	RABBIT	m
TOPO	MOUSE	m
ORSO	BEAR	m
LUPO	WOLF	m
VOLPE	FOX	f
CERVO	DEER	m
SCIMMIA	MONKEY	f
SERPENTE	SNAKE	m
RANA	FROG	f
TARTARUGA	TURTLE	f
SQUALO	SHARK	m
BALENA	WHALE	f
POLPO	OCTOPUS	m
